chip_id,country,num_raw_fields,num_invalid_fields,num_dropped_small_fields,dropped_small_field_fraction,min_field_area_px,num_fields,mean_area_sqm,median_area_sqm,mean_area_px,area_cv,coverage,fields_per_covered_area,mean_aspect_ratio,largest_field_fraction,mean_compactness,mean_rectangularity,std_rectangularity,mean_perimeter_m,log_num_fields,log_mean_area_sqm,log_median_area_sqm,log_fields_per_covered_area,cluster
g0_0000004608-0000007680,kenya,1,0,0,0.0,50,1,2193.593265652073,2193.593265652073,61.0,0.0,0.000930800335698,0.0004558730258714,1.487357365526982,0.999999999544127,0.6907068076988188,0.6777777702469137,0.0,199.7726892092531,0.6931471805599453,7.693752007952734,7.693752007952734,6.1244055095565955,1
g0_0000007680-0000000512,kenya,1,0,0,0.0,50,1,1941.5691917986635,1941.5691917986635,54.0,0.0,0.0008239871824212,0.0005150473151866,1.6373663382474912,0.9999999994849528,0.6965093293989352,0.5454545399449037,0.0,187.16209554561985,0.6931471805599453,7.571766701580998,7.571766701580998,6.246198457375795,1
g0_0000009216-0000002048,kenya,1,0,0,0.0,50,1,2373.1217573528875,2373.1217573528875,66.0,0.0,0.0010070954451815,0.0004213858797932,4.558823552861728,0.9999999995786142,0.3660806381306867,0.2986425325853279,0.0,285.4148481128377,0.6931471805599453,7.772382861703168,7.772382861703168,6.04591930331342,1
g0_0000009216-0000002560,kenya,2,0,1,0.499999750000125,50,1,5357.563720578638,5357.563720578638,149.0,0.0,0.0022735942626068,0.0001866520030312,4.257216526115378,0.999999999813348,0.4332466453291366,0.3078512390333652,0.0,394.2039759155951,0.6931471805599453,8.586451255577849,8.586451255577849,5.234589199817692,1
g10_0000007680-0000002048,kenya,1,0,0,0.0,50,1,2064.990641022618,2064.990641022618,57.0,0.0,0.0008697509765621,0.0004842636957524,2.719499100594169,0.9999999995157364,0.5939188692573731,0.6263736194903998,0.0,209.02605022327936,0.6931471805599453,7.63336511967059,7.63336511967059,6.184692445767055,1
g10_0000009216-0000001536,kenya,2,0,1,0.499999750000125,50,1,1871.6441105469244,1871.6441105469244,52.0,0.0,0.0007934691386278,0.0005342896087085,2.8420022355796304,0.9999999994657104,0.619212823955447,0.7222222121913582,0.0,194.8931598503154,0.6931471805599453,7.535106674003776,7.535106674003776,6.282807925121436,1
g10_0000009728-0000003072,kenya,2,0,1,0.499999750000125,50,1,2915.632675381309,2915.632675381309,81.0,0.0,0.0012359807736318,0.0003429787325751,1.4180476963282962,0.9999999996570214,0.754574572885883,0.7363636296694216,0.0,220.35365222940615,0.6931471805599453,7.97818503646066,7.97818503646066,5.8405798315526285,1
g2_0000004096-0000003072,kenya,3,0,1,0.3333332222222592,50,2,5170.593573918919,5170.593573918919,143.5,0.5400696863066996,0.00437933928435,0.0001934013930136,1.6775014748854515,0.770034843131112,0.6424122567532361,0.5016025618249861,0.0400641035140661,305.7826123489548,1.0986122886681098,8.550936154808452,8.550936154808452,5.269925057708484,1
g2_0000004608-0000003584,kenya,2,0,0,0.0,50,2,2684.444907451704,2684.444907451704,74.5,0.006711409393473,0.0022735942626068,0.0003725164919711,1.4564828445545124,0.5033557046042324,0.7161079212728788,0.5454059789027116,0.0315170935824955,217.07658118130664,1.0986122886681098,7.895601694315385,7.895601694315385,5.9229621588085015,1
g2_0000005120-0000003584,kenya,4,0,0,0.0,50,4,4305.909437593262,4251.860365154853,119.5,0.2361330720710596,0.0072938124666178,0.0002322389763266,1.7004352272223344,0.3326359832442855,0.6583605009893334,0.5162724496611895,0.0571036999934813,284.9268858975163,1.6094379124341003,8.367975858037887,8.355347062632555,5.4520635774170385,1
